,id,created_at,gst_amount,usdc_amount
0,514,2022-02-15 08:34:02,496159,1325675
0,515,2022-02-15 08:35:02,496205,1325552
0,516,2022-02-15 08:36:02,496205,1325552
0,517,2022-02-15 08:37:03,496216,1325523
0,518,2022-02-15 08:38:02,496220,1325513
0,519,2022-02-15 08:39:03,496220,1325513
0,520,2022-02-15 08:40:02,495540,1327337
0,521,2022-02-15 08:41:01,495504,1327433
0,522,2022-02-15 08:42:02,495236,1328155
0,523,2022-02-15 08:43:07,495169,1328335
0,524,2022-02-15 08:44:02,495090,1328548
0,525,2022-02-15 08:45:02,495077,1328582
0,526,2022-02-15 08:46:02,495077,1328582
0,527,2022-02-15 08:47:02,495077,1328582
0,528,2022-02-15 08:48:02,495087,1328555
0,529,2022-02-15 08:49:03,495087,1328555
0,530,2022-02-15 08:50:06,495087,1328555
0,531,2022-02-15 08:51:03,495107,1328502
0,532,2022-02-15 08:52:03,494598,1329875
0,533,2022-02-15 08:53:03,494598,1329875
0,534,2022-02-15 08:54:03,494626,1329799
0,535,2022-02-15 08:55:03,494626,1329799
0,536,2022-02-15 08:56:02,494382,1330460
0,537,2022-02-15 08:57:01,494378,1330470
0,538,2022-02-15 08:58:04,494497,1330153
0,539,2022-02-15 08:59:03,494493,1330162
0,540,2022-02-15 09:00:02,494493,1330162
0,541,2022-02-15 09:01:02,494493,1330162
0,542,2022-02-15 09:02:03,494503,1330135
0,543,2022-02-15 09:03:02,494584,1329918
0,544,2022-02-15 09:04:02,494584,1329918
0,545,2022-02-15 09:05:02,494584,1329918
0,546,2022-02-15 09:06:03,494584,1329918
0,547,2022-02-15 09:07:02,494654,1329731
0,548,2022-02-15 09:08:03,494652,1329736
0,549,2022-02-15 09:09:02,494652,1329736
0,550,2022-02-15 09:10:03,494452,1330275
0,551,2022-02-15 09:11:02,494408,1330394
0,552,2022-02-15 09:12:07,494458,1330260
0,553,2022-02-15 09:13:02,494455,1330268
0,554,2022-02-15 09:14:02,494469,1330231
0,555,2022-02-15 09:15:03,494469,1330231
0,556,2022-02-15 09:16:01,494469,1330231
0,557,2022-02-15 09:17:06,494469,1330231
0,558,2022-02-15 09:18:02,494284,1330731
0,559,2022-02-15 09:19:03,494284,1330731
0,560,2022-02-15 09:20:03,494284,1330731
0,561,2022-02-15 09:21:01,494284,1330731
0,562,2022-02-15 09:22:07,494248,1330828
0,563,2022-02-15 09:23:02,494050,1331361
0,564,2022-02-15 09:24:02,494050,1331361
0,565,2022-02-15 09:25:04,494050,1331361
0,566,2022-02-15 09:26:03,494050,1331361
0,567,2022-02-15 09:27:05,494050,1331361
0,568,2022-02-15 09:28:01,494050,1331361
0,569,2022-02-15 09:29:01,494050,1331361
0,570,2022-02-15 09:30:03,494062,1331329
0,571,2022-02-15 09:31:01,494044,1331378
0,572,2022-02-15 09:32:02,494044,1331378
0,573,2022-02-15 09:33:02,493990,1331526
0,574,2022-02-15 09:34:03,493990,1331526
0,575,2022-02-15 09:35:01,493990,1331526
0,576,2022-02-15 09:36:03,493982,1331548
0,577,2022-02-15 09:37:02,493982,1331548
0,578,2022-02-15 09:38:02,493768,1332124
0,579,2022-02-15 09:39:03,493848,1331909
